# Comments on shell extraction
#
# star_pos_pxl:[166.1, 169.1]  # position of star in original datacube pixel (y,x)
# star_pos_wcs:[-62.64006879, 98.9003431]  # position of star in J2000 (dec, ra)
# subcube_size:45  # size in arcsec of each axis of the subcube extracted from the original one.
# rest_line:4861.3  # rest wavelength of the line in angstrom
# wave_range:50  # the range of wavelength considered, centered at rest_line (lambda_blue = rest_line - wave_range/2, lambda_red = rest_line - wave_range/2)
# snr_threshold:2  # when extracting shell, select svoxels with snr greater or equal to this value
# bindata:False  # True if data was binned, False otherwise
# pxl_scl:[0.2 0.2]  # pixel scale in arcsecs (y,x)
# wave_step:1.25  # wavelength step of the cube in angstrom
# minimum_adjacent_pixels:3  # when extracting shell, select those svoxels with at least this number of adjacent svoxels (after applying snr_threshold selection)
# flux_selection:0.1  # when extracting shell, select those svoxels wich flux is greater than flux_selection quantile (after applying minimum_adjacent_pixels selection)
# distance[pc]:501  # distance used to convert PPV into PPP in parsec
# tsn[yrs]:96.5503  # time since nova in years
# vsys[km/s]:1.8  # systemic velocity used to convert PPV into PPP in km/s
# expansion_history:"linear"  # expansion history model used during PPP conversion
# expansion_coeffs:[370]  # coefficients used during PPP conversion (model dependent)
#
# Comments on columns
#
# x,y,z_pxl: svoxel x,y and z position in pixels with respect the central star which is at 0,0,0
# x,y_arcsec: svoxel x and y position in arcsecs in the PPV space with respect the central star
# z_kms: svoxel velocity in km/s in the PPV space with respect the rest_line wavelength
# x,y,z_au: svoxel position in the PPP space in AU with respect the central star
# flux, flux_e: the flux and its uncertainty associated to the svoxel
# snr: lower limit for the signal to noise ratio associated to the svoxel
# belongs_to: if the svoxels belongs to the star, equatorial ring or polar filament
#
x_pxl,y_pxl,z_pxl,x_arcsec,y_arcsec,z_kms,x_au,y_au,z_au,flux,flux_e,snr,belongs_to
-3.3,0.9,-11.01,-0.66,0.18,-849.0,-331.0,90.0,-17328.0,966.0,355.0,2.0,star
-0.3,0.9,-11.01,-0.06,0.18,-849.0,-30.0,90.0,-17328.0,2757.0,776.0,3.0,star
0.7,0.9,-11.01,0.14,0.18,-849.0,70.0,90.0,-17328.0,1873.0,710.0,2.0,star
3.7,0.9,-11.01,0.74,0.18,-849.0,371.0,90.0,-17328.0,1161.0,335.0,3.0,star
-0.3,1.9,-11.01,-0.06,0.38,-849.0,-30.0,190.0,-17328.0,1412.0,534.0,2.0,star
0.7,1.9,-11.01,0.14,0.38,-849.0,70.0,190.0,-17328.0,1045.0,491.0,2.0,star
-4.3,2.9,-11.01,-0.86,0.58,-849.0,-431.0,291.0,-17328.0,365.0,158.0,2.0,star
-2.3,2.9,-11.01,-0.46,0.58,-849.0,-230.0,291.0,-17328.0,703.0,267.0,2.0,star
-0.3,2.9,-11.01,-0.06,0.58,-849.0,-30.0,291.0,-17328.0,1182.0,367.0,3.0,star
-3.3,3.9,-11.01,-0.66,0.78,-849.0,-331.0,391.0,-17328.0,485.0,174.0,2.0,star
-4.3,-9.1,-10.01,-0.86,-1.82,-772.0,-431.0,-912.0,-15760.0,150.0,51.0,2.0,star
-3.3,-8.1,-10.01,-0.66,-1.62,-772.0,-331.0,-812.0,-15760.0,177.0,65.0,2.0,star
0.7,-8.1,-10.01,0.14,-1.62,-772.0,70.0,-812.0,-15760.0,271.0,81.0,3.0,star
1.7,-8.1,-10.01,0.34,-1.62,-772.0,170.0,-812.0,-15760.0,180.0,74.0,2.0,star
-0.3,-7.1,-10.01,-0.06,-1.42,-772.0,-30.0,-711.0,-15760.0,223.0,91.0,2.0,star
0.7,-7.1,-10.01,0.14,-1.42,-772.0,70.0,-711.0,-15760.0,347.0,94.0,3.0,star
3.7,-7.1,-10.01,0.74,-1.42,-772.0,371.0,-711.0,-15760.0,235.0,86.0,2.0,star
5.7,-7.1,-10.01,1.14,-1.42,-772.0,571.0,-711.0,-15760.0,146.0,64.0,2.0,star
-5.3,-6.1,-10.01,-1.06,-1.22,-772.0,-531.0,-611.0,-15760.0,151.0,70.0,2.0,star
-3.3,-6.1,-10.01,-0.66,-1.22,-772.0,-331.0,-611.0,-15760.0,273.0,110.0,2.0,star
-1.3,-6.1,-10.01,-0.26,-1.22,-772.0,-130.0,-611.0,-15760.0,582.0,143.0,4.0,star
-0.3,-6.1,-10.01,-0.06,-1.22,-772.0,-30.0,-611.0,-15760.0,395.0,129.0,3.0,star
1.7,-6.1,-10.01,0.34,-1.22,-772.0,170.0,-611.0,-15760.0,328.0,125.0,2.0,star
3.7,-6.1,-10.01,0.74,-1.22,-772.0,371.0,-611.0,-15760.0,287.0,115.0,2.0,star
4.7,-6.1,-10.01,0.94,-1.22,-772.0,471.0,-611.0,-15760.0,225.0,91.0,2.0,star
6.7,-6.1,-10.01,1.34,-1.22,-772.0,671.0,-611.0,-15760.0,191.0,74.0,2.0,star
-5.3,-5.1,-10.01,-1.06,-1.02,-772.0,-531.0,-511.0,-15760.0,212.0,98.0,2.0,star
-4.3,-5.1,-10.01,-0.86,-1.02,-772.0,-431.0,-511.0,-15760.0,285.0,112.0,2.0,star
-3.3,-5.1,-10.01,-0.66,-1.02,-772.0,-331.0,-511.0,-15760.0,321.0,154.0,2.0,star
-1.3,-5.1,-10.01,-0.26,-1.02,-772.0,-130.0,-511.0,-15760.0,540.0,213.0,2.0,star
-0.3,-5.1,-10.01,-0.06,-1.02,-772.0,-30.0,-511.0,-15760.0,721.0,211.0,3.0,star
0.7,-5.1,-10.01,0.14,-1.02,-772.0,70.0,-511.0,-15760.0,778.0,220.0,3.0,star
1.7,-5.1,-10.01,0.34,-1.02,-772.0,170.0,-511.0,-15760.0,620.0,200.0,3.0,star
3.7,-5.1,-10.01,0.74,-1.02,-772.0,371.0,-511.0,-15760.0,498.0,163.0,3.0,star
-3.3,-4.1,-10.01,-0.66,-0.82,-772.0,-331.0,-411.0,-15760.0,587.0,201.0,2.0,star
-0.3,-4.1,-10.01,-0.06,-0.82,-772.0,-30.0,-411.0,-15760.0,936.0,313.0,2.0,star
0.7,-4.1,-10.01,0.14,-0.82,-772.0,70.0,-411.0,-15760.0,1258.0,326.0,3.0,star
-4.3,-3.1,-10.01,-0.86,-0.62,-772.0,-431.0,-311.0,-15760.0,615.0,167.0,3.0,star
-3.3,-3.1,-10.01,-0.66,-0.62,-772.0,-331.0,-311.0,-15760.0,945.0,249.0,3.0,star
-0.3,-3.1,-10.01,-0.06,-0.62,-772.0,-30.0,-311.0,-15760.0,2022.0,483.0,4.0,star
0.7,-3.1,-10.01,0.14,-0.62,-772.0,70.0,-311.0,-15760.0,2160.0,482.0,4.0,star
3.7,-3.1,-10.01,0.74,-0.62,-772.0,371.0,-311.0,-15760.0,1041.0,264.0,3.0,star
4.7,-3.1,-10.01,0.94,-0.62,-772.0,471.0,-311.0,-15760.0,440.0,187.0,2.0,star
-10.3,-2.1,-10.01,-2.06,-0.42,-772.0,-1032.0,-210.0,-15760.0,107.0,41.0,2.0,star
-6.3,-2.1,-10.01,-1.26,-0.42,-772.0,-631.0,-210.0,-15760.0,262.0,114.0,2.0,star
-5.3,-2.1,-10.01,-1.06,-0.42,-772.0,-531.0,-210.0,-15760.0,367.0,156.0,2.0,star
-4.3,-2.1,-10.01,-0.86,-0.42,-772.0,-431.0,-210.0,-15760.0,752.0,187.0,4.0,star
-3.3,-2.1,-10.01,-0.66,-0.42,-772.0,-331.0,-210.0,-15760.0,1267.0,289.0,4.0,star
-2.3,-2.1,-10.01,-0.46,-0.42,-772.0,-230.0,-210.0,-15760.0,1992.0,397.0,5.0,star
-1.3,-2.1,-10.01,-0.26,-0.42,-772.0,-130.0,-210.0,-15760.0,2908.0,538.0,5.0,star
-0.3,-2.1,-10.01,-0.06,-0.42,-772.0,-30.0,-210.0,-15760.0,3247.0,636.0,5.0,star
0.7,-2.1,-10.01,0.14,-0.42,-772.0,70.0,-210.0,-15760.0,3048.0,621.0,4.0,star
1.7,-2.1,-10.01,0.34,-0.42,-772.0,170.0,-210.0,-15760.0,2906.0,522.0,5.0,star
2.7,-2.1,-10.01,0.54,-0.42,-772.0,271.0,-210.0,-15760.0,1830.0,422.0,4.0,star
3.7,-2.1,-10.01,0.74,-0.42,-772.0,371.0,-210.0,-15760.0,1027.0,307.0,3.0,star
4.7,-2.1,-10.01,0.94,-0.42,-772.0,471.0,-210.0,-15760.0,716.0,213.0,3.0,star
5.7,-2.1,-10.01,1.14,-0.42,-772.0,571.0,-210.0,-15760.0,365.0,151.0,2.0,star
6.7,-2.1,-10.01,1.34,-0.42,-772.0,671.0,-210.0,-15760.0,230.0,113.0,2.0,star
-7.3,-1.1,-10.01,-1.46,-0.22,-772.0,-731.0,-110.0,-15760.0,296.0,94.0,3.0,star
-5.3,-1.1,-10.01,-1.06,-0.22,-772.0,-531.0,-110.0,-15760.0,671.0,192.0,3.0,star
-4.3,-1.1,-10.01,-0.86,-0.22,-772.0,-431.0,-110.0,-15760.0,1158.0,244.0,4.0,star
-3.3,-1.1,-10.01,-0.66,-0.22,-772.0,-331.0,-110.0,-15760.0,1281.0,364.0,3.0,star
-2.3,-1.1,-10.01,-0.46,-0.22,-772.0,-230.0,-110.0,-15760.0,2101.0,511.0,4.0,star
-1.3,-1.1,-10.01,-0.26,-0.22,-772.0,-130.0,-110.0,-15760.0,3013.0,690.0,4.0,star
-0.3,-1.1,-10.01,-0.06,-0.22,-772.0,-30.0,-110.0,-15760.0,3476.0,822.0,4.0,star
0.7,-1.1,-10.01,0.14,-0.22,-772.0,70.0,-110.0,-15760.0,3073.0,790.0,3.0,star
